dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,200,3,0.05,1.150030453728774,0.8889129369838389,0.48668534967623567,0.692505558488625,0.8363636363636363
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,200,3,0.1,1.1912419866885782,0.8879930739191659,0.44923673988702906,0.6774587202719846,0.8454545454545455
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,200,5,0.05,1.1639589495988585,0.9011199624162297,0.47417612009717547,0.685975101386621,0.8272727272727273
"ElasticNet->PCA (top-200, 95%var)",Gradient Boosting,200,5,0.1,1.2247054004576488,0.9449379699869551,0.41785892524016655,0.6572069137710734,0.8181818181818182
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,2,0.05,1.3393170565772246,1.118555703006068,0.314641474177649,0.5683614470266379,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,2,0.1,1.330934927731717,1.1089841571016432,0.3231932754283242,0.5852930057729984,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,3,0.05,1.3373142996540552,1.1072827717496614,0.3166896527734846,0.5578546585171247,0.7
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,3,0.1,1.3533221346409883,1.0956131147205594,0.3002331086765663,0.5632399701613628,0.7
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,5,0.05,1.3641106350965588,1.1348690046902896,0.28903174461205583,0.5152147937175415,0.7
"Lasso (alpha=1.0, top-100)",Gradient Boosting,50,5,0.1,1.3762365018748532,1.1379332115877625,0.27633567210767407,0.5215130263425665,0.6545454545454545
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,2,0.05,1.3325568308326643,1.1137119909801891,0.3215427307611416,0.5770536633857952,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,2,0.1,1.3430598402580092,1.1168001751037355,0.310805589452846,0.578123348575404,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,3,0.05,1.3417416030509586,1.0986037016795542,0.3121578387309719,0.5750987214875444,0.6818181818181818
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,3,0.1,1.3656653007255204,1.1017841371004078,0.2874102518352558,0.5640237912054727,0.7181818181818181
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,5,0.05,1.3690535215999533,1.1288481262078263,0.2838699897513868,0.5265156488887979,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Gradient Boosting,100,5,0.1,1.3818194221417284,1.1366897634592132,0.2704524463532789,0.5235186860730832,0.6272727272727273
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,2,0.05,1.3530062789184905,1.1287781616923367,0.3005597117498624,0.5694828742420975,0.7454545454545455
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,2,0.1,1.3686421884263127,1.1243960289095225,0.28430024872024895,0.5663660329137544,0.7363636363636363
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,3,0.05,1.3512159405369715,1.100998858744048,0.30240952769804297,0.5747022002534652,0.7
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,3,0.1,1.3959122876211005,1.1119763949522061,0.2554955796440668,0.5535298106384473,0.7090909090909091
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,5,0.05,1.3569609063811465,1.1143935709678428,0.29646502549794485,0.5513766081231569,0.6727272727272727
"Lasso (alpha=1.0, top-100)",Gradient Boosting,200,5,0.1,1.3791251003049845,1.133615110986876,0.27329466949622894,0.5235048539370107,0.6272727272727273
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,2,0.05,1.2318924444227728,1.0160734636851,0.4201754449154199,0.652175994395701,0.7818181818181819
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,2,0.1,1.193233918523373,0.9702241697037521,0.4559958656665134,0.6644266562439376,0.7909090909090909
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,3,0.05,1.2414225858046835,1.0172517438737199,0.4111694893363719,0.6216300272355324,0.7545454545454545
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,3,0.1,1.2169708125251195,0.977973834280346,0.43413693838421163,0.647288639650074,0.8272727272727273
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,5,0.05,1.2654932856081886,1.0479998812454907,0.38811372646358133,0.6225706124884645,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Gradient Boosting,50,5,0.1,1.2733612223337387,1.042692832605362,0.3804815273367138,0.61456180570247,0.7909090909090909
"Ridge (alpha=1.0, top-100)",Gradient Boosting,100,2,0.05,1.197965071216026,0.9805640777763809,0.45167337859014245,0.6639286993453266,0.8
"Ridge (alpha=1.0, top-100)",Gradient Boosting,100,2,0.1,1.1935135923654232,0.9554302839353117,0.45574082505136526,0.6656023878101026,0.7818181818181819
"Ridge (alpha=1.0, top-100)",Gradient Boosting,100,3,0.05,1.2233607498491765,0.989442259701912,0.4281789938524858,0.6399391646835368,0.7909090909090909
"Ridge (alpha=1.0, top-100)",Gradient Boosting,100,3,0.1,1.233717554101773,0.985945795522045,0.4184560946062009,0.6418065030533283,0.8090909090909091
"Ridge (alpha=1.0, top-100)",Gradient Boosting,100,5,0.05,1.2665394982304314,1.0333968497700305,0.38710158713595955,0.6278176027719771,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Gradient Boosting,100,5,0.1,1.272180348583923,1.0395934965429028,0.3816300370769631,0.614377377221503,0.7909090909090909
"Ridge (alpha=1.0, top-100)",Gradient Boosting,200,2,0.05,1.1942143466209605,0.9665303249303525,0.45510152961345585,0.6638226529687705,0.7727272727272727
"Ridge (alpha=1.0, top-100)",Gradient Boosting,200,2,0.1,1.1996693419636937,0.9494576220585653,0.45011212815131574,0.6746301619534399,0.7909090909090909
"Ridge (alpha=1.0, top-100)",Gradient Boosting,200,3,0.05,1.2359860879036073,0.9884209744311883,0.4163154670231364,0.642295238527891,0.8
"Ridge (alpha=1.0, top-100)",Gradient Boosting,200,3,0.1,1.2527378137640381,1.0039595335931861,0.40038651162287875,0.6417004566767722,0.8181818181818182
"Ridge (alpha=1.0, top-100)",Gradient Boosting,200,5,0.05,1.2660832903977,1.0304197223339506,0.3875430399282066,0.6321977791949448,0.7727272727272727
