dimension_reduction_type,model,alpha,rmse,mae,r2,spearman_r,within_1_acc
"Lasso->PCA (top-100, 95%var)",Poisson Regression,0.1,1.444629712594542,1.1781372439605884,0.17841763473506767,0.5389863731642082,0.7
"Lasso->PCA (top-100, 95%var)",Poisson Regression,0.5,1.4098954430888222,1.1485106507138245,0.21745046716047078,0.5439124141594448,0.6818181818181818
"Lasso->PCA (top-100, 95%var)",Poisson Regression,1.0,1.3973564526936375,1.1442528043542284,0.23130787427762234,0.5478606267923312,0.6636363636363637
"Lasso->PCA (top-100, 95%var)",Poisson Regression,5.0,1.4700385548675439,1.2152602441611478,0.14926270273150766,0.548423339340476,0.5727272727272728
"Lasso->PCA (top-100, 95%var)",Poisson Regression,10.0,1.5307577421084038,1.2769274201334049,0.0775327594091525,0.5471503175102463,0.5727272727272728
"Ridge->PCA (top-100, 95%var)",Poisson Regression,0.1,1.4974138629052682,1.1402233871269127,0.11728253027288504,0.5628140208995943,0.7545454545454545
"Ridge->PCA (top-100, 95%var)",Poisson Regression,0.5,1.3893918762305624,1.0643757118461816,0.24004560100861116,0.5682382008718775,0.7727272727272727
"Ridge->PCA (top-100, 95%var)",Poisson Regression,1.0,1.340516377287169,1.0418756675060505,0.2925719576692186,0.5739990858934604,0.7727272727272727
"Ridge->PCA (top-100, 95%var)",Poisson Regression,5.0,1.4035771416063432,1.1536039957605166,0.2244485818414248,0.579164971581349,0.6090909090909091
"Ridge->PCA (top-100, 95%var)",Poisson Regression,10.0,1.4844809323391037,1.2389633102261575,0.13246447079683987,0.5791788087751558,0.5909090909090909
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,0.1,1.454480835944207,1.1740719305205878,0.1671744704658903,0.541956757434744,0.7181818181818181
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,0.5,1.3699743027062112,1.1145159165776795,0.26113879359994885,0.5900917422908206,0.7545454545454545
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,1.0,1.3292562507189731,1.0803475828601683,0.3044066118260971,0.6145420637475149,0.7636363636363637
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,5.0,1.274529467805377,1.0490387953313232,0.36050406988282446,0.6365708762880113,0.7636363636363637
"ElasticNet (top-200, l1r=0.5)",Poisson Regression,10.0,1.2906886753389681,1.0673642308437885,0.34418548915135516,0.63603583812748,0.7363636363636363
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,0.1,1.3668812001052535,1.0960363199958534,0.26447140148574144,0.5965444870027458,0.7363636363636363
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,0.5,1.3261626172070984,1.0717979135815106,0.3076406111381207,0.6054464150184823,0.7272727272727273
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,1.0,1.3139011712735988,1.0708481438941206,0.3203842698048859,0.609952727801578,0.7272727272727273
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,5.0,1.4172925125516027,1.186565387069188,0.20921757547398823,0.6152200862440502,0.6
"ElasticNet->PCA (top-200, 95%var)",Poisson Regression,10.0,1.4967607958119766,1.2570655299322864,0.11805232149452183,0.6125864070228142,0.5727272727272728
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.1,1.5720185823991812,1.253854426005805,0.03595904805245631,0.46374458744375047,0.6880733944954128
"Lasso (alpha=1.0, top-100)",Poisson Regression,0.5,1.479138960505986,1.208019257419395,0.14651069154955243,0.4827899193842235,0.6880733944954128
"Lasso (alpha=1.0, top-100)",Poisson Regression,1.0,1.4346875757014363,1.1810981531533589,0.1970383440333594,0.49780050462782255,0.6972477064220184
"Lasso (alpha=1.0, top-100)",Poisson Regression,5.0,1.4121580123784598,1.1813680587411912,0.22205889206996454,0.5377829005088305,0.6605504587155964
"Lasso (alpha=1.0, top-100)",Poisson Regression,10.0,1.4547832093545703,1.2221932257128787,0.1743866782742438,0.5401392684387322,0.5963302752293578
