dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc,qwk
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,20,10.0,1.1292721419055918,0.8980177477012633,0.5050489991385385,0.6947418599645537,0.8636363636363636,0.5933734939759037
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,20,20.0,1.047052139016096,0.8372727272727271,0.5744980112907364,0.7484655284215163,0.8727272727272727,0.6197856315179606
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,20,30.0,1.1158567845545249,0.8809090909090909,0.5167388375673596,0.7076577681990669,0.8272727272727273,0.5358738135120044
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,20,,1.084686800207993,0.8545454545454545,0.5433602771362587,0.7345232269495331,0.8818181818181818,0.6446185088482739
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,50,10.0,1.088233211602022,0.8795811889304211,0.540369405110111,0.7295499689661185,0.8909090909090909,0.6113989637305699
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,50,20.0,1.0762189706222767,0.8490909090909089,0.5504621503720811,0.7439199329140116,0.8727272727272727,0.6165413533834587
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,50,30.0,1.06602575442196,0.854,0.558937259430331,0.7497992030496375,0.9,0.6387949584998462
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,50,,1.0964322306297076,0.8856363636363636,0.5334173723376956,0.730915962605815,0.9,0.6385364414281499
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,100,10.0,1.0715612189218071,0.8582293023443568,0.5543448262972803,0.7438440034291333,0.8727272727272727,0.600091407678245
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,100,20.0,1.0698194410103212,0.8589999999999999,0.5557924364896074,0.7473931942869269,0.8909090909090909,0.6214392803598201
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,100,30.0,1.0813829529399337,0.8689090909090909,0.5461377983063895,0.7397051127422939,0.8727272727272727,0.5959214501510575
"ElasticNet (top-200, l1r=0.5) + SMOTE",Random Forest,100,,1.0513899890577754,0.853,0.5709650692840648,0.7514089940759339,0.8818181818181818,0.6251484560570071
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Random Forest,10,10.0,1.139349801068593,0.9106667785330199,0.49617566630549115,0.7015711825395214,0.8636363636363636,0.5807815689705453
