dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc,qwk
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,2,0.05,1.3784406552669086,1.1528535589482753,0.26253549059785597,0.508844534743646,0.6454545454545455,0.23460898502495853
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,2,0.1,1.3236432561466547,1.0736790362712079,0.3200031825293663,0.5393954355426258,0.7272727272727273,0.40625
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,3,0.05,1.3667070984545582,1.1426406387250796,0.27503694043849325,0.5063090178065878,0.6909090909090909,0.3431528662420382
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,3,0.1,1.3253228646340625,1.0704780916266998,0.3182763530980808,0.5486322914153335,0.7272727272727273,0.4165170556552963
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,5,0.05,1.32645623496623,1.0830311480936423,0.3171098815211213,0.5533661800500961,0.7454545454545455,0.4487626903553299
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,50,5,0.1,1.3089107763265444,1.0499158095897096,0.3350560114625526,0.5854827279195,0.7454545454545455,0.43234836702954893
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,2,0.05,1.318829830899603,1.0773243292204018,0.324939803479113,0.5467017885379375,0.6909090909090909,0.34692577253902523
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,2,0.1,1.2947645260742868,1.0208112524251542,0.34935130698093064,0.5638315377538736,0.7545454545454545,0.46157094594594583
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,3,0.05,1.3175018090139803,1.0621052560844821,0.3262986495144715,0.552959758391697,0.7,0.39655172413793094
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,3,0.1,1.3010777463262024,1.0274123163005588,0.3429907635995071,0.5710362853345854,0.7454545454545455,0.4785794813979707
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,5,0.05,1.314638697362038,1.0516836372984248,0.32922355832431194,0.5684361104064183,0.7272727272727273,0.4364599092284418
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,100,5,0.1,1.3063082094224086,1.0364029689561642,0.3376976594222164,0.5870160459943694,0.7545454545454545,0.42183163737280294
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,2,0.05,1.292760281120552,1.0270450835591551,0.35136410547347463,0.5624968120802674,0.7454545454545455,0.42562592047128134
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,2,0.1,1.3057965306947577,1.0292225130049766,0.3382164032316197,0.5612960208168154,0.7363636363636363,0.4489397321428572
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,3,0.05,1.2907501315901253,1.0163559530688122,0.353379701802056,0.576278201042347,0.7454545454545455,0.511400651465798
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,3,0.1,1.305475469178574,1.0225267538715885,0.33854179408561347,0.5822267362243706,0.7363636363636363,0.4844632768361583
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,5,0.05,1.3141882670916556,1.0515855909093972,0.32968313136795746,0.5705975346806318,0.7272727272727273,0.47539797395079586
"Ridge->PCA (top-100, 95%var) + SMOTE",Gradient Boosting,200,5,0.1,1.3101268619560398,1.0409800384059475,0.3338198623150104,0.5850670694052281,0.7272727272727273,0.4109947643979057
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,50,2,0.05,1.162557392523268,0.9684647201943751,0.4754416775719448,0.7002183331423358,0.8454545454545455,0.5548852266038846
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,50,2,0.1,1.093295187703066,0.891690768027681,0.5360834665703855,0.7285662438156751,0.8727272727272727,0.6134020618556701
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,50,3,0.05,1.1274898736595045,0.9350094825021001,0.5066100742886459,0.7270837284481055,0.8727272727272727,0.5639964528524978
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,50,3,0.1,1.0721976631096373,0.8718919085336344,0.5538152832880747,0.7401446426521139,0.8818181818181818,0.6182165257703846
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,50,5,0.05,1.093951830818682,0.8660216373699114,0.5355260341726422,0.7285570069598023,0.8636363636363636,0.5811480186480187
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,50,5,0.1,1.1065730680272945,0.8515555641150817,0.5247466687808442,0.6994793846725192,0.8545454545454545,0.5721620079863092
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,100,2,0.05,1.0938721051497184,0.8962423508041026,0.535593732122832,0.7291712578753374,0.8545454545454545,0.6028956986224346
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,100,2,0.1,1.0810151396164114,0.861642656205519,0.5464464922322727,0.7325288549850666,0.8727272727272727,0.6179909646558597
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,100,3,0.05,1.0730495690115258,0.8681751653665805,0.5531059767633617,0.7428048571434538,0.9181818181818182,0.6386692118898283
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,100,3,0.1,1.0714082740127264,0.8467878779436109,0.5544720347563046,0.7372581251918928,0.8818181818181818,0.6492263309729871
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,100,5,0.05,1.0658334599080237,0.8184668195386923,0.5590963668353843,0.7427679097199629,0.8636363636363636,0.6078567462520822
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,100,5,0.1,1.1081319192414043,0.8449237467665717,0.5234067282414735,0.7005231493861351,0.8545454545454545,0.5812218468468469
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,200,2,0.05,1.0949338955534067,0.8746532379734523,0.5346917227628856,0.7328059606612478,0.8545454545454545,0.6214082319440848
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,200,2,0.1,1.0707005632059068,0.8420968430321846,0.5550604207660285,0.7477281013236069,0.8727272727272727,0.6453900709219857
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,200,3,0.05,1.0763711385143828,0.8553168963902572,0.5503350199928259,0.7474787062150438,0.9,0.6478400858599409
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,200,3,0.1,1.0740040925157688,0.8348786255049259,0.5523105604323358,0.7451556369630576,0.8636363636363636,0.6683931278423446
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,200,5,0.05,1.0689291179689313,0.8135659788547391,0.5565314839355198,0.7410637098114483,0.8636363636363636,0.6051537822111388
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,200,5,0.1,1.1092690382338166,0.8456919468146342,0.5224281059106834,0.7032572587244567,0.8454545454545455,0.5684776457272213
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,50,2,0.05,1.1269779632018295,0.9182163482419333,0.5070579969378759,0.750165522081096,0.8272727272727273,0.5389026658400495
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,50,2,0.1,1.0694679577064947,0.8813421156647808,0.5560842724535893,0.762470123296448,0.8363636363636363,0.546875
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,50,3,0.05,1.0789527638827026,0.8608625625821702,0.5481754328024606,0.759195657889573,0.8090909090909091,0.5519159456118665
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,50,3,0.1,1.048974072529092,0.8448480817537163,0.5729345035109363,0.7576392476750219,0.8818181818181818,0.6090292121569784
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,50,5,0.05,1.142960979533766,0.8710611652728419,0.4929768543458072,0.71309451022889,0.8181818181818182,0.5558761008199211
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,50,5,0.1,1.143585497547588,0.8777848679513564,0.4924226244087089,0.6925794533356067,0.8363636363636363,0.6206799662826636
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,100,2,0.05,1.0821297857755503,0.8914150184316366,0.5455106823685552,0.7535888863748397,0.8363636363636363,0.5419668023802067
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,100,2,0.1,1.0194630238438154,0.8370281675934278,0.5966259696716774,0.7755356559283927,0.9181818181818182,0.6794871794871795
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,100,3,0.05,1.0560808156033774,0.8412788241650047,0.567128209586397,0.7546326510884556,0.8545454545454545,0.5808157099697884
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,100,3,0.1,1.035172628720417,0.832427570309018,0.5840984509831777,0.755015980607173,0.9090909090909091,0.6495645073489384
