dimension_reduction_type,model,n_estimators,max_depth,mean_squared_error,mean_absolute_error,f1_score,accuracy_score
"Ridge (alpha=1.0, top-100)",Random Forest,10,10.0,1.8972138367616147,1.1110688800130766,0.28457236982981615,0.2909090909090909
"Ridge (alpha=1.0, top-100)",Random Forest,10,20.0,1.6456363636363636,1.0218181818181817,0.30170074829456367,0.32727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,10,30.0,1.798727272727273,1.0909090909090908,0.2717849043764919,0.2818181818181818
"Ridge (alpha=1.0, top-100)",Random Forest,10,,1.9933636363636362,1.1427272727272728,0.23463815623322734,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,20,10.0,1.8001223187861854,1.1208292668023316,0.19425584482287103,0.20909090909090908
"Ridge (alpha=1.0, top-100)",Random Forest,20,20.0,1.847886363636364,1.1486363636363637,0.14109799291617475,0.17272727272727273
"Ridge (alpha=1.0, top-100)",Random Forest,20,30.0,1.734363636363636,1.0763636363636364,0.22807846565199505,0.2545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,20,,1.9364318181818183,1.1186363636363634,0.24059740018844103,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,50,10.0,1.6861756909947796,1.068913649175979,0.2298701298701299,0.2636363636363636
"Ridge (alpha=1.0, top-100)",Random Forest,50,20.0,1.7697090909090907,1.0956363636363635,0.2324387900931336,0.24545454545454545
"Ridge (alpha=1.0, top-100)",Random Forest,50,30.0,1.6996472727272727,1.0638181818181818,0.24889276314686604,0.2727272727272727
"Ridge (alpha=1.0, top-100)",Random Forest,50,,1.758512727272727,1.0976363636363635,0.19716551916938102,0.21818181818181817
"Ridge (alpha=1.0, top-100)",Random Forest,100,10.0,1.7885363575330495,1.110150059431797,0.17802859977430036,0.2
"Ridge (alpha=1.0, top-100)",Random Forest,100,20.0,1.7774054545454545,1.0941818181818181,0.2434113480102785,0.2727272727272727
