dimension_reduction_type,model,n_estimators,max_depth,learning_rate,rmse,mae,r2,spearman_r,within_1_acc
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,100,2,0.1,1.1626445561443772,0.9156063853368736,0.47536301630808675,0.6953689838091645,0.8727272727272727
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,100,3,0.05,1.120148525913502,0.9014707586895516,0.5130143086577843,0.7234259335225135,0.8545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,100,3,0.1,1.1434935841841931,0.900444008021532,0.4925042121326666,0.7071829224703573,0.8545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,100,5,0.05,1.0909618529485763,0.861033225038378,0.5380615553141266,0.736828611393812,0.8454545454545455
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,100,5,0.1,1.0955911793797324,0.8465599917218641,0.5341329102113954,0.721684786190508,0.8909090909090909
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,200,2,0.05,1.153109035686433,0.9071338073023684,0.48393342882350154,0.7043148787218816,0.8454545454545455
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,200,2,0.1,1.2229599933304125,0.9457137698865873,0.41951703688833264,0.66301227768707,0.8363636363636363
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,200,3,0.05,1.1427277014633113,0.9062362552579631,0.4931837998374188,0.7119907059521016,0.8363636363636363
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,200,3,0.1,1.1960407892996974,0.9354353925092898,0.4447904095140307,0.6787980643735273,0.8545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,200,5,0.05,1.093438592886816,0.8581750619190731,0.5359617567162872,0.7355539252833784,0.8545454545454545
"ElasticNet (top-200, l1r=0.5) + SMOTE",Gradient Boosting,200,5,0.1,1.0974991649206156,0.846086991822803,0.5325088707429584,0.723421315094577,0.8818181818181818
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,50,2,0.05,1.1521244562918045,0.9307674848123906,0.484814336999397,0.7197080278322074,0.8454545454545455
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,50,2,0.1,1.1210750224243307,0.8890036112557855,0.5122083849295955,0.7120045612359107,0.8636363636363636
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,50,3,0.05,1.1487328413616595,0.9259420790806536,0.48784307146663264,0.7048576921166606,0.8454545454545455
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,50,3,0.1,1.1455248249125909,0.9093301927621388,0.4906996341306977,0.7075154492817748,0.8636363636363636
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,50,5,0.05,1.178627615002312,0.9379413882062464,0.4608393327034558,0.6723045546950138,0.8181818181818182
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,50,5,0.1,1.2043290107822524,0.9273475593745125,0.43706885966248776,0.674826216348263,0.8181818181818182
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,100,2,0.05,1.1247875030175438,0.886285274757486,0.5089723564271318,0.7144938938936052,0.8454545454545455
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,100,2,0.1,1.1346233334996676,0.8878797908148119,0.5003471157956452,0.7098200448220153,0.8545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,100,3,0.05,1.1398715361528466,0.9027781010621903,0.49571413462052394,0.7020934148844955,0.8636363636363636
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,100,3,0.1,1.1919521959610282,0.9361986146513079,0.4485798225166334,0.6849913762361777,0.8090909090909091
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,100,5,0.05,1.212619995915389,0.9454331323013402,0.4292913850598077,0.65716072949171,0.8181818181818182
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,100,5,0.1,1.2252302867882003,0.9419633681471931,0.4173598282806178,0.666157427111727,0.8090909090909091
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,200,2,0.05,1.1371067955084662,0.8866905288676316,0.49815744293246256,0.7104019667419958,0.8454545454545455
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,200,2,0.1,1.1580208419260178,0.9029951076812831,0.47952757021253456,0.7004215439715354,0.8545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,200,3,0.05,1.1721705593570726,0.9141903479208248,0.4667306830669741,0.6927087693178248,0.8545454545454545
"ElasticNet->PCA (top-200, 95%var) + SMOTE",Gradient Boosting,200,3,0.1,1.2224028340997757,0.9663423300240056,0.4200458322214691,0.6713300664004432,0.8454545454545455
