dimension_reduction_type,model,max_depth,min_samples_split,rmse,mae,r2,spearman_r,within_1_acc
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,2,1.6968919260307573,1.2970763657025846,-0.10016895779479351,0.36591441607010167,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,5,1.6505018765238724,1.2821939584081923,-0.040837821760925985,0.41271175636553853,0.6181818181818182
"Lasso (alpha=1.0, top-100)",Decision Tree,10.0,10,1.61140893157825,1.252729723114406,0.00788377240459448,0.386424673871432,0.6454545454545455
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,2,1.7162326606420664,1.272727272727273,-0.12539076068079202,0.4001996324084174,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,5,1.6508797318247275,1.2428049485256094,-0.04131444176611754,0.41729481905138477,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,20.0,10,1.6354530145530086,1.2398014013614727,-0.02194415390468052,0.3778484470474904,0.6363636363636364
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,2,1.7082686610079276,1.281818181818182,-0.11497047585967346,0.40377381247284166,0.5818181818181818
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,5,1.754786809762195,1.3033120353502496,-0.17652116098885728,0.3764847601014066,0.6181818181818182
"Lasso (alpha=1.0, top-100)",Decision Tree,30.0,10,1.6251229584582993,1.252127320812303,-0.009075058394956592,0.382122331665939,0.6272727272727273
"Lasso (alpha=1.0, top-100)",Decision Tree,,2,1.7606816861659011,1.3000000000000003,-0.1844390413337964,0.3430859590026603,0.6090909090909091
"Lasso (alpha=1.0, top-100)",Decision Tree,,5,1.6901563252896987,1.2956960922231624,-0.09145232522002611,0.39378795625002916,0.6
"Lasso (alpha=1.0, top-100)",Decision Tree,,10,1.5821209162653962,1.2077544197945413,0.043620266393573415,0.42318579852535587,0.6454545454545455
"Ridge (alpha=1.0, top-100)",Decision Tree,10.0,2,1.6580545350859817,1.2349117533844485,-0.050385316238662714,0.4086255234496126,0.6545454545454545
