dimension_reduction_type,n_features,model,mean_squared_error,mean_absolute_error,f1_score,accuracy_score,execution_time_seconds,alpha,prediction_std,max_depth,min_samples_split,n_estimators
Lasso,525,Decision Tree,3.316540404040404,1.3393939393939391,0.2993025441581592,0.2818181818181818,0.13204646110534668,,,30,5.0,
Lasso,525,Decision Tree,2.9852225257106206,1.2775974025974026,0.3056026027626398,0.2909090909090909,0.13150501251220703,,,30,10.0,
Lasso,525,Decision Tree,3.3363636363636364,1.3181818181818181,0.34431134083307996,0.32727272727272727,0.13338994979858398,,,None,2.0,
Lasso,525,Decision Tree,3.1572601010101007,1.2946969696969697,0.28333372509843097,0.2727272727272727,0.13275957107543945,,,None,5.0,
Lasso,525,Decision Tree,3.102070021358712,1.2829112554112552,0.32259740259740255,0.3090909090909091,0.12648510932922363,,,None,10.0,
Lasso,525,Random Forest,1.7295767364672772,1.0302781151393787,0.2696141328858925,0.2818181818181818,0.7014477252960205,,,10,,10.0
Lasso,525,Random Forest,1.6533636363636364,0.9990909090909093,0.31841826478190116,0.32727272727272727,0.6848325729370117,,,20,,10.0
Lasso,525,Random Forest,1.9815454545454543,1.1009090909090913,0.2860796268230038,0.2909090909090909,0.7139163017272949,,,30,,10.0
Lasso,525,Random Forest,1.7666363636363636,1.0590909090909089,0.2882899035059989,0.3090909090909091,0.7239456176757812,,,None,,10.0
Lasso,525,Random Forest,1.6349261346333357,1.0206227681610418,0.28101672185797016,0.3181818181818182,1.3890838623046875,,,10,,20.0
Lasso,525,Random Forest,1.707,1.028181818181818,0.31943645797018233,0.33636363636363636,1.3931353092193604,,,20,,20.0
Lasso,525,Random Forest,1.704272727272727,0.9899999999999999,0.3597273373392776,0.38181818181818183,1.4023566246032715,,,30,,20.0
Lasso,525,Random Forest,1.532113636363637,1.0095454545454547,0.24531168567126527,0.2545454545454545,1.423363208770752,,,None,,20.0
Lasso,525,Random Forest,1.7383373647870086,1.0541144175760073,0.23098651587646807,0.24545454545454545,3.414297580718994,,,10,,50.0
Lasso,525,Random Forest,1.6359345454545458,1.0196363636363637,0.2427875029331758,0.2727272727272727,3.4722392559051514,,,20,,50.0
Lasso,525,Random Forest,1.6067090909090909,1.0252727272727271,0.2646903778040142,0.2818181818181818,3.528360366821289,,,30,,50.0
Lasso,525,Random Forest,1.5640254545454544,0.9947272727272725,0.2542496737712049,0.2909090909090909,3.6055400371551514,,,None,,50.0
Lasso,525,Random Forest,1.6245415049684244,1.0152704103201897,0.28030482114606947,0.3090909090909091,6.759540557861328,,,10,,100.0
Lasso,525,Random Forest,1.6347563636363633,1.025090909090909,0.29599141816150615,0.3,7.1801817417144775,,,20,,100.0
Lasso,525,Random Forest,1.68201,1.0295454545454545,0.30707804791929616,0.32727272727272727,6.950330495834351,,,30,,100.0
Lasso,525,Random Forest,1.5876290909090909,1.0081818181818183,0.2622282565918929,0.2818181818181818,6.98845648765564,,,None,,100.0
Ridge,100,Linear Regression,2.496322432441442,1.3183900618558497,0.17323253323253324,0.17272727272727273,0.00624394416809082,,,,,
Ridge,100,Poisson Regression,2.035169287252336,1.2037184754683001,0.14503384275667947,0.2,0.006254434585571289,10.0,0.631077038229957,,,
Ridge,100,Decision Tree,3.4529829048760674,1.376951566951567,0.23742950968967183,0.24545454545454545,0.02372121810913086,,,10,2.0,
Ridge,100,Decision Tree,3.3250542096396796,1.3124993524993525,0.2726314846677823,0.2818181818181818,0.023682594299316406,,,10,5.0,
Ridge,100,Decision Tree,3.509671241637664,1.4134733784733786,0.27373962410898117,0.2818181818181818,0.019528865814208984,,,10,10.0,
Ridge,100,Decision Tree,3.4545454545454546,1.3454545454545455,0.2697352662240889,0.2818181818181818,0.02099132537841797,,,20,2.0,
Ridge,100,Decision Tree,3.1010101010101008,1.3136363636363637,0.2338547815820543,0.24545454545454545,0.020645856857299805,,,20,5.0,
Ridge,100,Decision Tree,3.2988774135916996,1.3584487734487736,0.29110116563388183,0.2909090909090909,0.0198056697845459,,,20,10.0,
Ridge,100,Decision Tree,3.390909090909091,1.3545454545454545,0.2667643285995127,0.2818181818181818,0.021038293838500977,,,30,2.0,
Ridge,100,Decision Tree,3.8549242424242425,1.462121212121212,0.22986472523804222,0.23636363636363636,0.021094799041748047,,,30,5.0,
Ridge,100,Decision Tree,3.5205945853088716,1.3993578643578644,0.2975757146002431,0.3,0.01972055435180664,,,30,10.0,
Ridge,100,Decision Tree,3.909090909090909,1.4545454545454546,0.24826839826839822,0.2636363636363636,0.020811080932617188,,,None,2.0,
Ridge,100,Decision Tree,3.70625,1.4477272727272728,0.234896331738437,0.24545454545454545,0.02083444595336914,,,None,5.0,
Ridge,100,Decision Tree,3.6011854943997803,1.4514790764790761,0.241808519982433,0.24545454545454545,0.019984722137451172,,,None,10.0,
Ridge,100,Random Forest,1.8960308087046465,1.142936488012717,0.20339363787124978,0.24545454545454545,0.12070488929748535,,,10,,10.0
Ridge,100,Random Forest,1.9651818181818184,1.1409090909090909,0.19663172141949734,0.22727272727272727,0.11993241310119629,,,20,,10.0
Ridge,100,Random Forest,2.0181818181818185,1.1600000000000001,0.20109107795278008,0.22727272727272727,0.11807632446289062,,,30,,10.0
Ridge,100,Random Forest,1.951272727272727,1.1036363636363633,0.30362477832383516,0.3181818181818182,0.11762595176696777,,,None,,10.0
Ridge,100,Random Forest,1.8683578561567489,1.136282500015573,0.17317691016750578,0.21818181818181817,0.23701167106628418,,,10,,20.0
Ridge,100,Random Forest,1.9716363636363639,1.1718181818181816,0.1928820359967901,0.24545454545454545,0.24202370643615723,,,20,,20.0
Ridge,100,Random Forest,1.9052727272727272,1.1490909090909092,0.1627365278399761,0.20909090909090908,0.24657988548278809,,,30,,20.0
Ridge,100,Random Forest,2.017295454545455,1.1713636363636364,0.24416216937378746,0.2818181818181818,0.24565577507019043,,,None,,20.0
Ridge,100,Random Forest,1.9049374450716392,1.1190792448791032,0.21337537004448232,0.24545454545454545,0.5693955421447754,,,10,,50.0
Ridge,100,Random Forest,1.8174945454545448,1.0987272727272726,0.23406326137820652,0.2909090909090909,0.5978472232818604,,,20,,50.0
Ridge,100,Random Forest,1.9109236363636368,1.1229090909090906,0.20169039858180365,0.2636363636363636,0.584967851638794,,,30,,50.0
Ridge,100,Random Forest,1.906858181818182,1.1301818181818182,0.20418652775795634,0.2545454545454545,0.5880527496337891,,,None,,50.0
Ridge,100,Random Forest,1.9003411946130775,1.1224061172769857,0.2120261437908497,0.2727272727272727,1.1351637840270996,,,10,,100.0
Ridge,100,Random Forest,1.9197909090909087,1.1358181818181816,0.21203073242546924,0.2727272727272727,1.1687970161437988,,,20,,100.0
Ridge,100,Random Forest,1.8298254545454542,1.1105454545454543,0.19906083617002704,0.2545454545454545,1.165541172027588,,,30,,100.0
Ridge,100,Random Forest,1.9248490909090912,1.1381818181818182,0.20265811316343232,0.24545454545454545,1.1692566871643066,,,None,,100.0
All Features,17975,Linear Regression,2.8760498172190605,1.3192518938374491,0.2657171345746442,0.2727272727272727,0.13819122314453125,,,,,
All Features,17975,Poisson Regression,2.0058985996443677,1.0909523241450687,0.2963898859617603,0.2909090909090909,0.6092884540557861,10.0,1.177043284180685,,,
All Features,17975,Decision Tree,3.221335487851335,1.217699077238551,0.3568416916559355,0.36363636363636365,3.6682145595550537,,,10,2.0,
