dimension_reduction_type,model,n_estimators,max_depth,rmse,mae,r2,spearman_r,within_1_acc
"Ridge (alpha=1.0, top-100)",Random Forest,100,,1.3084074288997294,1.0633636363636363,0.3459107328933656,0.5913515596244859,0.7454545454545455
PCA (n_components=50),Random Forest,10,10.0,1.2924650143922896,1.0234248339185934,0.3617532494717377,0.6101529958266918,0.7727272727272727
PCA (n_components=50),Random Forest,10,20.0,1.3208812485334451,1.009090909090909,0.3333796457103162,0.605762978604891,0.8
PCA (n_components=50),Random Forest,10,30.0,1.2767857369902824,1.001818181818182,0.37714484195901354,0.6176991813075926,0.7909090909090909
PCA (n_components=50),Random Forest,10,,1.268571136071102,0.9818181818181817,0.38513372698853787,0.6069637317392164,0.7545454545454545
PCA (n_components=50),Random Forest,20,10.0,1.245570788271976,0.9705280804571381,0.40722777094264717,0.6190402024770396,0.7636363636363637
PCA (n_components=50),Random Forest,20,20.0,1.247731760572139,0.9863636363636362,0.4051691556184459,0.6415787116225257,0.7363636363636363
PCA (n_components=50),Random Forest,20,30.0,1.235378116573663,0.9604545454545452,0.41688954498089614,0.6659313945026819,0.7818181818181819
PCA (n_components=50),Random Forest,20,,1.2486083161955661,0.9922727272727272,0.40433310177144866,0.6555463264327152,0.7818181818181819
PCA (n_components=50),Random Forest,50,10.0,1.24463029918979,0.984597841936731,0.40812259818430263,0.6520053980508066,0.7363636363636363
PCA (n_components=50),Random Forest,50,20.0,1.2144224216399409,0.9745454545454546,0.43650434178534214,0.6721604865148689,0.7545454545454545
PCA (n_components=50),Random Forest,50,30.0,1.238343468289208,0.9892727272727274,0.4140868357068429,0.6489446766998026,0.7545454545454545
PCA (n_components=50),Random Forest,50,,1.2762516138356816,0.9867272727272728,0.37766585620006954,0.621450828023083,0.7545454545454545
PCA (n_components=50),Random Forest,100,10.0,1.232732088267626,0.9656287980497033,0.4193847719384758,0.6437107271193131,0.7727272727272727
PCA (n_components=50),Random Forest,100,20.0,1.221634151454518,0.9806363636363635,0.4297919416464051,0.6667933437574153,0.7545454545454545
PCA (n_components=50),Random Forest,100,30.0,1.2552203718145198,1.0032727272727275,0.39800764154220225,0.6433936706189075,0.7636363636363637
PCA (n_components=50),Random Forest,100,,1.255643623442141,0.9939090909090911,0.3976015977770059,0.6463831543262597,0.7636363636363637
