feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,target
-9062.248286554297,-1817.2766849119644,19066.46964720921,13978.336195812179,-3045.484444271518,-1606.2830653030896,2.0
-15589.21108934666,-190.53908272179214,525.3059693591927,-439.41059503138433,1459.6704414172466,-936.873045300875,5.0
170321.00950903806,-26539.809621973127,-11830.724613421133,2110.089074487335,-2748.542893447698,-17671.24135663959,2.0
-15200.463255395947,56.15855857232725,-3723.1807857654508,-1198.5632453851078,1656.8540215401526,301.724765380753,2.0
-14737.62985094634,-126.58225016298346,-2584.3456370503204,1344.2954988007791,-250.74305348221083,-803.3659757212866,2.0
-15215.126513605295,-90.12227651746034,-1538.0944444879274,-1074.1600352439361,699.7826045113771,1487.020777402214,2.0
-9064.88806003229,-993.1308709596552,-2051.732370349343,2145.314919084678,-716.705582613469,-1038.2025420657799,4.0
-1852.0425676014029,-2105.755252729103,2004.6167164722542,643.9263491659938,-3084.2337003537414,-647.4395177813532,2.0
13587.724331071977,-4048.4151530817226,-4652.454885543165,3034.2754222237677,-1091.376026250188,-308.8515710187742,0.0
-10219.012476269234,-932.1037099900481,8945.011755520618,-5191.67473244036,-3176.880016832628,4014.0313231665673,2.0
-5295.55084913769,-1449.1633259792745,-803.5383620108803,-1919.482798163553,2966.3171503205685,-83.95091269094382,5.0
21884.239614818784,-5630.605620141453,-597.9887974391329,-3569.709003576559,-1182.0041291620664,-11654.451956518555,1.0
-5097.6557590283055,-1503.8775462956157,-1081.076779878235,-2077.567195662909,-914.4354670005608,-39.94876443888316,5.0
-12628.675678126168,-403.9332663476219,-1986.6189963828997,-1786.9323532268859,612.1541742664974,903.7430151075681,3.0
-7895.877380284412,-934.4375918698407,-4074.3702109666287,235.04182771164562,-975.0898967115653,318.6254139627431,0.0
-7334.206624020702,-942.4177488726892,-4605.405338463405,239.14474315192055,-504.4279073513596,1585.5429292305314,0.0
-7693.7982532751885,-1225.6834285953114,-852.5695851338794,1619.0740289279593,1858.1465635010131,975.2443932507164,2.0
-14317.079674931807,-111.58235427640334,-3002.9289295836265,-137.65076870736928,-157.17188497042363,228.94391627889283,3.0
-8163.580653849715,-1307.4458395276868,2451.3919302185186,-1764.163626811536,5021.736217707628,-2313.9356475587942,4.0
-189.17038120919898,-2382.534727499513,1053.1508650178178,-1273.1760345440814,-207.60806950780906,1981.349421167245,2.0
-7969.988228122492,-1342.8752544779345,2069.9707061261797,2557.598616994563,5414.03357536564,-908.9722850347895,2.0
