dimension_reduction_type,model,C,gamma,rmse,mae,r2,spearman_r,within_1_acc
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.467313612122213,1.230856784565265,0.17738445295204952,0.4551141624824024,0.5818181818181818
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.467313612122213,1.230856784565265,0.17738445295204952,0.4551141624824024,0.5818181818181818
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.2716001963481427,1.0311401407404166,0.38219389882323795,0.5758871532436786,0.7909090909090909
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.2716001963481427,1.0311401407404166,0.38219389882323795,0.5758871532436786,0.7909090909090909
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.2719954649392249,1.0121902752128518,0.3818097571696595,0.5738353863929201,0.8181818181818182
"Ridge (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.2719954649392249,1.0121902752128518,0.3818097571696595,0.5738353863929201,0.8181818181818182
PCA (n_components=50),SVR (rbf),0.1,scale,1.4821649386354334,1.2307088267200883,0.16064807368801814,0.6423505670721811,0.6
PCA (n_components=50),SVR (rbf),0.1,auto,1.4821649386354334,1.2307088267200883,0.16064807368801814,0.6423505670721811,0.6
PCA (n_components=50),SVR (rbf),1.0,scale,1.2198600108277862,0.9405224608573148,0.43144692927459427,0.6764145075067962,0.8363636363636363
PCA (n_components=50),SVR (rbf),1.0,auto,1.2198600108277862,0.9405224608573148,0.43144692927459427,0.6764145075067962,0.8363636363636363
PCA (n_components=50),SVR (rbf),10.0,scale,1.269979468137977,0.9925585016952472,0.38376775462270907,0.6120858533454874,0.7909090909090909
PCA (n_components=50),SVR (rbf),10.0,auto,1.269979468137977,0.9925585016952472,0.38376775462270907,0.6120858533454874,0.7909090909090909
"Lasso→PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.4312548139041283,1.171483963761516,0.21731872992146073,0.5012581684203596,0.6363636363636364
"Lasso→PCA (top-100, 95%var)",SVR (rbf),0.1,auto,1.4312548139041283,1.171483963761516,0.21731872992146073,0.5012581684203596,0.6363636363636364
"Lasso→PCA (top-100, 95%var)",SVR (rbf),1.0,scale,1.3958749893418725,1.0721101787003986,0.25553536489851014,0.4883527854646899,0.7181818181818181
"Lasso→PCA (top-100, 95%var)",SVR (rbf),1.0,auto,1.3958749893418725,1.0721101787003986,0.25553536489851014,0.4883527854646899,0.7181818181818181
"Lasso→PCA (top-100, 95%var)",SVR (rbf),10.0,scale,1.4752530856275818,1.1571702977552532,0.16845820308472703,0.4759914665278731,0.6818181818181818
"Lasso→PCA (top-100, 95%var)",SVR (rbf),10.0,auto,1.4752530856275818,1.1571702977552532,0.16845820308472703,0.4759914665278731,0.6818181818181818
"Ridge→PCA (top-100, 95%var)",SVR (rbf),0.1,scale,1.520071000073566,1.2773139968419265,0.11716657527227647,0.5433355263529933,0.5818181818181818
"Ridge→PCA (top-100, 95%var)",SVR (rbf),0.1,auto,1.520071000073566,1.2773139968419265,0.11716657527227647,0.5433355263529933,0.5818181818181818
"Ridge→PCA (top-100, 95%var)",SVR (rbf),1.0,scale,1.3176686323488518,1.101970582639162,0.33661837890111046,0.5295863830968993,0.7363636363636363
"Ridge→PCA (top-100, 95%var)",SVR (rbf),1.0,auto,1.3176686323488518,1.101970582639162,0.33661837890111046,0.5295863830968993,0.7363636363636363
"Ridge→PCA (top-100, 95%var)",SVR (rbf),10.0,scale,1.3165763760205205,1.0973641827239213,0.33771771820602314,0.526704688081789,0.7636363636363637
"Ridge→PCA (top-100, 95%var)",SVR (rbf),10.0,auto,1.3165763760205205,1.0973641827239213,0.33771771820602314,0.526704688081789,0.7636363636363637
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.4629811726270276,1.2099863393323447,0.15741155880140745,0.527335455978845,0.6
"Lasso (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.4503987774074452,1.1991915848538774,0.17184262677607265,0.5369384684807951,0.6
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.4399791780987057,1.1468178127261919,0.18369877656072142,0.5155277172636711,0.6545454545454545
"Lasso (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.427263222482027,1.1270553623398405,0.19805206579833645,0.5142454706375701,0.6636363636363637
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,scale,1.4939743324248491,1.1926117668084693,0.1213330426234479,0.44619415149550873,0.7
"Lasso (alpha=1.0, top-100)",SVR (rbf),10.0,auto,1.5076556519476398,1.1903647686438965,0.10516627620116759,0.44270717865618386,0.6727272727272727
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,scale,1.4183306073447697,1.182811943612806,0.20805873529591068,0.5591840637242655,0.6
"Ridge (alpha=1.0, top-100)",SVR (rbf),0.1,auto,1.4183306073447697,1.182811943612806,0.20805873529591068,0.5591840637242655,0.6
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,scale,1.2413184174684153,0.9915936727396288,0.39339718558335124,0.5970610755715346,0.7636363636363637
"Ridge (alpha=1.0, top-100)",SVR (rbf),1.0,auto,1.2413184174684153,0.9915936727396288,0.39339718558335124,0.5970610755715346,0.7636363636363637
